idpeople,name,studied_under,source_location,sourceX,sourceY,target_location,targetX,targetY,year_start,year_end,congregation_name,title
59,Aaron Bosquila,,"Salonica, Greece",40.640063,22.944419,"Newport, United States",41.490102,-71.312829,1774,1774,Jeshuat Israel,
59,Aaron Bosquila,,"Newport, United States",41.490102,-71.312829,"New York, United States",40.712775,-74.005973,1774,1774,Shearith Israel,
59,Aaron Bosquila,,"New York, United States",40.712775,-74.005973,"Willemstad, Curacao",12.104742,-68.93267,1774,1774,Mikve Israel,
59,Aaron Bosquila,,,,,"Salonica, Greece",40.640063,22.944419,,1773,,
60,[Rabbi] Calveres,,,,,"Newport, United States",41.490102,-71.312829,1788,1788,Jeshuat Israel,
73,Isaac Nieto,,"London, England",51.507351,-0.127758,"Gibraltar, United Kingdom",36.140751,-5.353585,1749,1751,Shaar Hashamayim,
73,Isaac Nieto,,"Gibraltar, United Kingdom",36.140751,-5.353585,"London, England",51.507351,-0.127758,1733,1741,Kahal Kadosh Sha'ar Hashamayim,
79,Gershom Mendes Seixas,,"New York, United States",40.712775,-74.005973,"New York, United States",40.712775,-74.005973,1768,1776,Shearith Israel,hazzan
79,Gershom Mendes Seixas,,"Philadelphia, United States",39.952584,-75.165222,"New York, United States",40.712775,-74.005973,1784,1816,Shearith Israel,hazzan
79,Gershom Mendes Seixas,234,,,,"New York, United States",40.712775,-74.005973,,,,
79,Gershom Mendes Seixas,,"New York, United States",40.712775,-74.005973,"Philadelphia, United States",39.952584,-75.165222,1780,1784,Mikveh Israel,
85,Joseph Pardo,,"Salonica, Greece",40.640063,22.944419,"Amsterdam, Netherlands",52.370216,4.895168,1597,1619,Beth Jacob,
85,Joseph Pardo,,,,,"Salonica, Greece",40.640063,22.944419,,1597,,
87,Israel Abbady,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1772,1794,Nidhe Israel,
88,[Rabbi] Abendana,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1809,1813,Nidhe Israel,
91,David Israel Athias,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1728,1753,Talmud Torah,
92,Solomon Judah Ayllon,,"London, England",51.507351,-0.127758,"Amsterdam, Netherlands",52.370216,4.895168,1708,1728,Talmud Torah,
92,Solomon Judah Ayllon,,"Amsterdam, Netherlands",52.370216,4.895168,"London, England",51.507351,-0.127758,1689,1700,Kahal Kadosh Sha'ar Hashamayim,
92,Solomon Judah Ayllon,,,,,"Salonica, Greece",40.640063,22.944419,1664,,,
92,Solomon Judah Ayllon,,"Salonica, Greece",40.640063,22.944419,"Livorno, Italy",43.55,10.316667,1688,,,
92,Solomon Judah Ayllon,,"Livorno, Italy",43.55,10.316667,"Amsterdam, Netherlands",52.370216,4.895168,1688,1689,Talmud Torah,
93,Moses Belasco,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1824,1834,Nidhe Israel,
94,Moses ben Aroyo,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1597,1616,Beth Jacob,
95,Abraham ben Joshua,,,,,"Amsterdam, Netherlands",52.370216,4.895168,,1678,High German Congregation,
96,Isaac ben Joshua,,,,,"Amsterdam, Netherlands",52.370216,4.895168,,,High German Congregation,
99,Emanuel Nunes Carvalho,,"London, England",51.507351,-0.127758,"Bridgetown, Barbados",13.096851,-59.614482,1798,1806,Nidhe Israel,
99,Emanuel Nunes Carvalho,,,,,"London, England",51.507351,-0.127758,1771,1798,,
99,Emanuel Nunes Carvalho,,"Bridgetown, Barbados",13.096851,-59.614482,"Charleston, United States",32.776475,-79.931051,1806,1808,Beth Elohim,hazzan
99,Emanuel Nunes Carvalho,,"New York, United States",40.712775,-74.005973,"New York, United States",40.712775,-74.005973,1808,,Shearith Israel,
102,Moses Cohen de Azevedo,,,,,"London, England",51.507351,-0.127758,1761,1784,Kahal Kadosh Sha'ar Hashamayim,
104,Daniel de Azevedo,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1792,1823,Talmud Torah,
105,David Acohen de Azevedo,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1782,1792,Talmud Torah,
106,Isaac Hayyim Abendana de Britto,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1728,1760,Talmud Torah,
109,David Raphael Lopez de Fonseca,,,,,"Willemstad, Curacao",12.104742,-68.93267,1683,1707,Mikve Israel,
111,Moses Gomez de Mesquita,,,,,"London, England",51.507351,-0.127758,1744,1751,Kahal Kadosh Sha'ar Hashamayim,
112,Solomon de Oliveyra,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1698,1708,Talmud Torah,
113,David Sarfaty de Pine,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1794,1797,Nidhe Israel,
114,Uri ben Joseph Halevi,,"Emden, Germany",53.366944,7.206111,"Amsterdam, Netherlands",52.370216,4.895168,1604,,Beth Jacob,
118,Moses H. Julian,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1819,1829,Nidhe Israel,
123,Daniel Baruch Lousado,,,,,"Bridgetown, Barbados",13.096851,-59.614482,1772,1772,Nidhe Israel,
126,Raphael Meldola,,,,,"London, England",51.507351,-0.127758,1805,1828,Kahal Kadosh Sha'ar Hashamayim,
128,Saul Levi Mortiera,,"Venice, Italy",45.493048,12.4177,"Amsterdam, Netherlands",52.370216,4.895168,1616,1638,Beth Jacob,
128,Saul Levi Mortiera,,"Amsterdam, Netherlands",52.370216,4.895168,"Amsterdam, Netherlands",52.370216,4.895168,1638,1660,Talmud Torah,
128,Saul Levi Mortiera,,,,,"Venice, Italy",45.493048,12.4177,,,,
133,David Pardo,,"Salonica, Greece",40.640063,22.944419,"Amsterdam, Netherlands",52.370216,4.895168,1618,1638,Beth Israel,
133,David Pardo,,"Amsterdam, Netherlands",52.370216,4.895168,"Amsterdam, Netherlands",52.370216,4.895168,1638,1657,Talmud Torah,
133,David Pardo,,,,,"Salonica, Greece",40.640063,22.944419,,,,
134,David Pardo,,"London, England",51.507351,-0.127758,"Jodensavanne, Suriname",5.417798,-54.964218,1685,1713,Berakha ve Shalom,
134,David Pardo,,,,,"London, England",51.507351,-0.127758,,,,
136,Solomon Salem,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1762,1781,Talmud Torah,
137,Samuel Tardiola,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1619,,Beth Israel,
139,Isaac Touro,,"Kingston, Jamaica",18.017874,-76.809904,"Newport, United States",41.490102,-71.312829,1760,1776,Jeshuat Israel,
139,Isaac Touro,,"Newport, United States",41.490102,-71.312829,"New York, United States",40.712775,-74.005973,1780,1780,Shearith Israel,hazzan
139,Isaac Touro,,"Amsterdam, Netherlands",52.370216,4.895168,"Kingston, Jamaica",18.017874,-76.809904,1751,1760,Kahal Kadosh Shaar Ha Shamaim,
139,Isaac Touro,,,,,"Amsterdam, Netherlands",52.370216,4.895168,,,,
141,Moses Wahl,,,,,"Amsterdam, Netherlands",52.370216,4.895168,1635,,High German Congregation,
156,Moses Hezekiah Lopez de Fonseca,,"Willemstad, Curacao",12.104742,-68.93267,"New York, United States",40.712775,-74.005973,1726,1736,Shearith Israel,hazzan
156,Moses Hezekiah Lopez de Fonseca,,"New York, United States",40.712775,-74.005973,"Willemstad, Curacao",12.104742,-68.93267,1736,1752,Mikve Israel,hazzan
156,Moses Hezekiah Lopez de Fonseca,21,,,,"Willemstad, Curacao",12.104742,-68.93267,,,,
159,Abraham Haim de Lucena,,,,,"New York, United States",40.712775,-74.005973,1682,1725,Shearith Israel,hazzan
165,Isaac Cohen da Silva,,,,,"New York, United States",40.712775,-74.005973,1757,1758,Shearith Israel,hazzan
165,Isaac Cohen da Silva,,,,,"New York, United States",40.712775,-74.005973,1766,1768,Shearith Israel,hazzan
213,David Mendes Machado,,,,,"New York, United States",40.712775,-74.005973,1736,1747,Shearith Israel,hazzan
229,Saul Pardo,,"Willemstad, Curacao",12.104742,-68.93267,"New York, United States",40.712775,-74.005973,1655,1682,Shearith Israel,hazzan
229,Saul Pardo,,,,,"Willemstad, Curacao",12.104742,-68.93267,,,,
230,Moses Levi Maduro Peixotto,,"Willemstad, Curacao",12.104742,-68.93267,"New York, United States",40.712775,-74.005973,1816,1828,Shearith Israel,hazzan
230,Moses Levi Maduro Peixotto,,,,,"Willemstad, Curacao",12.104742,-68.93267,,,,
231,Benjamin Pereira,,,,,"New York, United States",40.712775,-74.005973,1748,1757,Shearith Israel,hazzan
234,Joseph Jessurun Pinto,,,,,"New York, United States",40.712775,-74.005973,1758,1766,Shearith Israel,hazzan
239,Isaac Benjamin Seixas,,,,,"New York, United States",40.712775,-74.005973,1828,1839,Shearith Israel,hazzan
247,Benjamin Wolf,,,,,"New York, United States",40.712775,-74.005973,1720,1726,Shearith Israel,hazzan
249,Jacob Raphael Cohen,,"London, England",51.507351,-0.127758,"New York, United States",40.712775,-74.005973,1782,1784,Shearith Israel,hazzan
249,Jacob Raphael Cohen,,"New York, United States",40.712775,-74.005973,"Philadelphia, United States",39.952584,-75.165222,1784,1811,Mikveh Israel,
249,Jacob Raphael Cohen,,,,,"London, England",51.507351,-0.127758,,,,
283,Jacob [de Joseph] Abendana,,,,,"Rotterdam, Netherlands",51.916667,4.5,,1655,,
283,Jacob [de Joseph] Abendana,,"Rotterdam, Netherlands",51.916667,4.5,"Amsterdam, Netherlands",52.370216,4.895168,1655,1680,Talmud Torah,
283,Jacob [de Joseph] Abendana,,"Amsterdam, Netherlands",52.370216,4.895168,"London, England",51.507351,-0.127758,1680,1685,Kahal Kadosh Sha'ar Hashamayim,
315,Moseh Israel Athias,,,,,"Hamburg, Germany",53.551085,9.993682,,,,
315,Moseh Israel Athias,,"Hamburg, Germany",53.551085,9.993682,"London, England",51.507351,-0.127758,1656,1665,Kahal Kadosh Sha'ar Hashamayim,
384,Aaron Hart,,,,,"London, England",51.507351,-0.127758,1704,1757,Congregation of the Great Synagogue,rabbi
559,Raphael Jesurun,,"Amsterdam, Netherlands",52.370216,4.895168,"Willemstad, Curacao",12.104742,-68.93267,1717,1748,Mikve Israel,haham
559,Raphael Jesurun,92,,,,"Amsterdam, Netherlands",52.370216,4.895168,,1717,,
562,R. Yehudah Loeb,,,,,"London, England",51.507351,-0.127758,1696,1700,Congregation of the Great Synagogue,rabbi
563,Aharon ben Mosheh,,,,,"London, England",51.507351,-0.127758,1700,1704,Congregation of the Great Synagogue,interim rabbi
565,Jehuda Leib,,,,,"London, England",51.507351,-0.127758,1690,1706,Congregation of the Great Synagogue,hazzan
566,Menachem Mendel,,,,,"London, England",51.507351,-0.127758,1706,,Congregation of the Great Synagogue,hazzan
572,Isaac Polack,,,,,"London, England",51.507351,-0.127758,1746,1802,Congregation of the Great Synagogue,hazzan
580,David Tevele Schiff,,,,,"London, England",51.507351,-0.127758,1765,1792,Congregation of the Great Synagogue,rabbi
596,Abraham Rodiques Lopez,,,,,"Spanish Town, Jamaica",18.019317,-76.975827,1773,,Kahal Kadosh Neve Shalom,
597,Mosseh Cohen de Lara,,,,,"Kingston, Jamaica",18.017874,-76.809904,1713,1748,Kahal Kadosh Shaar Ha Shamaim,
598,Jahacob de la Penha,,,,,"Kingston, Jamaica",18.017874,-76.809904,1734,1751,Kahal Kadosh Shaar Ha Shamaim,
601,Samuel Gomes Silva,,,,,"Kingston, Jamaica",18.017874,-76.809904,1760,1762,Kahal Kadosh Shaar Ha Shamaim,rabbi
602,Aaron Salome,,,,,"Kingston, Jamaica",18.017874,-76.809904,1783,1789,Kahal Kadosh Shaar Ha Shamaim,
603,Raphael Cohen de Azevedo,,,,,"Kingston, Jamaica",18.017874,-76.809904,1789,1807,Kahal Kadosh Shaar Ha Shamaim,
604,Myer Lyon (Leoni),572,"London, England",51.507351,-0.127758,"Kingston, Jamaica",18.017874,-76.809904,1789,1796,Kahal Kodosh Shaangare Yosher,Hazan
604,Myer Lyon (Leoni),,,,,"London, England",51.507351,-0.127758,1767,1788,Congregation of the Great Synagogue,
